date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:11	27468/27468	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2016:06:11%20GMT	https://conference.ifas.ufl.edu/forestsat/index.php	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/index.html	(from )
12:06:12	24/24	---M--	200	added ('OK')	text/plain	etag:%22519be9199e5ad01:0%22	https://conference.ifas.ufl.edu/robots.txt		(from )
12:06:12	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/ForestSAT_site/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:12	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/ForestSAT_site/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:12	48397/48397	---M-Z	200	added ('OK')	text/css	etag:%22644085c0a58fdb1:0%22	https://conference.ifas.ufl.edu/forestsat/css/custom.css	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/css/custom.css	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:12	4977/4977	---M-Z	200	added ('OK')	text/css	etag:%22619b7da66cf1d91:0%22	https://conference.ifas.ufl.edu/forestsat/css/owlcarousel/owl.carousel.css	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/css/owlcarousel/owl.carousel.css	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:13	1380/1380	---M-Z	200	added ('OK')	text/css	etag:%228ec44bf2ddefd91:0%22	https://conference.ifas.ufl.edu/forestsat/css/owlcarousel/owl.theme.default.css	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/css/owlcarousel/owl.theme.default.css	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:13	13490/13490	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Jun%202025%2016:06:13%20GMT	https://kit.fontawesome.com/ca76a7feb5.js	C:/My%20Web%20Sites/ForestSAT_site/kit.fontawesome.com/ca76a7feb5.js	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:13	12729/12729	---M--	200	added ('OK')	image/png	etag:%22a4df0d827efda1:0%22	https://conference.ifas.ufl.edu/forestsat/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/images/favicon/apple-touch-icon.png	(from https://conference.ifas.ufl.edu/forestsat/index.php)
12:06:13	973/973	---M--	200	added ('OK')	image/png	etag:%22a182f4d827efda1:0%22	https://conference.ifas.ufl.edu/forestsat/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/ForestSAT_site/conference.ifas.ufl.edu/forestsat/images/favicon/favicon-32x32.png	(from https://conference.ifas.ufl.edu/forestsat/index.php)
